name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price
Bajaj Discover 100,30000,2011,Individual,1st owner,45000,42859.0
Bajaj Avenger Street 150 [2018],80000,2017,Individual,1st owner,30000,80435.0
Honda CB Trigger,40000,2015,Individual,1st owner,75000,76572.0
Bajaj Pulsar 135 LS,20000,2010,Individual,1st owner,80000,64589.0
Bajaj Pulsar 180,65000,2018,Individual,1st owner,26000,85011.0
Yamaha YZF R15 S,85000,2016,Individual,1st owner,26000,117926.0
Hero Xpulse 200T,105000,2019,Individual,1st owner,2900,96500.0
Yamaha FZ S V 2.0,40000,2015,Individual,1st owner,25000,84042.0
Bajaj Discover 150,30000,2011,Individual,2nd owner,39500,54299.0
Honda Activa [2000-2015],25000,2012,Individual,1st owner,40000,50267.0
Hero Splendor PRO,40000,2016,Individual,1st owner,16000,51994.0
Honda Dream Neo,45000,2017,Individual,2nd owner,21000,49211.0
Suzuki Access 125,70000,2018,Individual,1st owner,7000,76632.0
Honda Activa [2000-2015],30000,2012,Individual,1st owner,22000,50267.0
Honda CB Hornet 160R,70000,2017,Individual,1st owner,35000,87719.0
Bajaj V15,50000,2017,Individual,1st owner,9000,65626.0
Honda Activa [2000-2015],35000,2013,Individual,1st owner,29500,50267.0
Hero Maestro Edge,55000,2018,Individual,1st owner,39000,52790.0
Hero Glamour 125,40000,2016,Individual,1st owner,15000,61600.0
Yamaha YBR 125,35000,2013,Individual,1st owner,20350,54593.0
Hero Passion PRO i3s,55000,2018,Individual,1st owner,15000,54475.0
Bajaj Pulsar 180,60000,2015,Individual,1st owner,28563,85011.0
Yamaha Fazer 25,115000,2018,Individual,1st owner,11000,142680.0
Honda Dream Neo,50000,2014,Individual,1st owner,25000,49211.0
Bajaj Pulsar 180,40000,2013,Individual,1st owner,34000,85011.0
Hero Xtreme 200R,86000,2018,Individual,1st owner,12000,93400.0
Bajaj Avenger Street 150 [2018],60000,2017,Individual,1st owner,30000,80435.0
Honda CB Shine SP,41000,2017,Individual,1st owner,33000,66697.0
Honda CBR150 R,110000,2017,Individual,1st owner,11800,129662.0
Honda Dream Yuga,32000,2017,Individual,1st owner,39000,56147.0
Hero Splendor Plus i3s,65000,2019,Individual,1st owner,1000,55600.0
Honda Activa 3G,35000,2016,Individual,1st owner,51000,54605.0
Yamaha SZ X,35000,2010,Individual,1st owner,46000,65800.0
Bajaj Pulsar 180,35000,2009,Individual,1st owner,19000,85011.0
Honda CB Unicorn 160,75000,2016,Individual,1st owner,40000,77545.0
Yamaha FZ S V 2.0,80000,2019,Individual,1st owner,10000,87042.0
Bajaj Pulsar 135 LS,25000,2011,Individual,2nd owner,30000,64589.0
Hero Duet,27000,2016,Individual,1st owner,28000,50280.0
Honda CB Twister,25000,2015,Individual,1st owner,35000,57241.0
Bajaj Discover 125,45000,2016,Individual,1st owner,20000,60122.0
Honda CBR-250R,200000,2019,Individual,1st owner,5500,202310.0
Bajaj Pulsar 180,20100,2008,Individual,1st owner,36000,85011.0
Suzuki Swish [2012-2015],30000,2014,Individual,1st owner,30000,51685.0
TVS Star City,21000,2011,Individual,1st owner,101000,47108.0
Yamaha Fazer [2009-2016],45000,2014,Individual,1st owner,57700,84751.0
Honda Dream Yuga,47000,2019,Individual,1st owner,8800,56147.0
Yamaha Fazer [2009-2016],25000,2013,Individual,1st owner,120000,84751.0
Honda Activa [2000-2015],50000,2014,Individual,1st owner,48000,50267.0
Hero Maestro Edge,46000,2015,Individual,1st owner,14000,55980.0
Honda CB Hornet 160R,80000,2017,Individual,1st owner,18000,87719.0
Hero Karizma [2003-2014],50000,2013,Individual,1st owner,38000,85766.0
Honda CB Trigger,40000,2014,Individual,1st owner,75000,83437.0
Honda CB Hornet 160R,70000,2017,Individual,1st owner,35000,87719.0
Hero Glamour FI,30900,2014,Individual,1st owner,25000,71150.0
Bajaj Avenger [2015],65000,2010,Individual,1st owner,20000,75502.0
Yamaha FZ25,90000,2018,Individual,1st owner,8200,132680.0
Yamaha YZF R15 S,70000,2017,Individual,1st owner,16000,117926.0
Bajaj Discover 125,15000,2011,Individual,1st owner,47000,57549.0
Hero Passion PRO i3s,35000,2016,Individual,1st owner,18000,54475.0
Honda Activa [2000-2015],15000,2006,Individual,1st owner,50000,50267.0
Bajaj Discover 125,50000,2018,Individual,1st owner,6000,60122.0
Suzuki Gixxer [2014-2018],69000,2017,Individual,1st owner,20000,82813.0
TVS Wego,15000,2011,Individual,1st owner,65000,54760.0
Bajaj Discover 150,25000,2008,Individual,1st owner,25000,54299.0
Suzuki Access 125 [2007-2016],30000,2012,Individual,1st owner,23000,58314.0
Hero Karizma 2014,45000,2014,Individual,1st owner,5555,86744.0
Yamaha Fazer 25,120000,2018,Individual,1st owner,6000,142680.0
Yamaha YZF R15 [2011-2018],80000,2017,Individual,1st owner,27000,118997.0
Hero Glamour 125,40000,2015,Individual,1st owner,71250,61600.0
Honda CB Twister,30000,2012,Individual,1st owner,50000,57241.0
Honda CB Trigger,45000,2013,Individual,1st owner,20000,76572.0
Hero Hunk,35000,2013,Individual,1st owner,50000,78513.0
Bajaj Discover 150,25000,2011,Individual,1st owner,52000,54299.0
Hero Xtreme Sports,65000,2017,Individual,1st owner,23000,78350.0
Bajaj Avenger [2015],45000,2011,Individual,1st owner,35000,75502.0
Honda CB Unicorn 150,60000,2017,Individual,1st owner,12652,74295.0
Suzuki Gixxer SF Fi,100000,2019,Individual,1st owner,7000,103170.0
Bajaj Discover 100,25000,2010,Individual,2nd owner,28000,42859.0
TVS Wego,15000,2011,Individual,2nd owner,20000,54760.0
Honda CB Hornet 160R,60000,2017,Individual,2nd owner,16008,92210.0
Yamaha YZF R15 S,75000,2018,Individual,1st owner,36000,117926.0
TVS Scooty Zest 110,55000,2018,Individual,1st owner,380,53751.0
Yamaha FZ S V 2.0,85000,2018,Individual,1st owner,50000,87042.0
Yamaha FZ S V 2.0,60000,2017,Individual,1st owner,14500,84042.0
Hero Splendor PRO,24000,2011,Individual,1st owner,43000,51994.0
Yamaha FZ16,40000,2016,Individual,1st owner,93000,78712.0
Yamaha FZ S V 2.0,75000,2017,Individual,1st owner,20000,84042.0
Honda CB Hornet 160R,70000,2017,Individual,1st owner,38000,87543.0
Honda Activa 125 [2016-2017],55000,2018,Individual,1st owner,18000,61545.0
Honda Activa 5G,51000,2018,Individual,1st owner,14000,59422.0
Yamaha Saluto,74000,2019,Individual,1st owner,13000,59844.0
Yamaha FZ S V 2.0,65000,2017,Individual,1st owner,42000,84042.0
Bajaj Avenger Street 150 [2018],60000,2016,Individual,2nd owner,27000,80435.0
Yamaha YZF R15 [2011-2018],50000,2014,Individual,1st owner,1200,118997.0
Honda CB Unicorn 150,30000,2010,Individual,1st owner,69000,74295.0
Honda Activa [2000-2015],16600,2010,Individual,1st owner,100000,50267.0
Honda Activa 3G,30000,2015,Individual,1st owner,18000,54605.0
Honda Activa 5G,62000,2019,Individual,1st owner,11200,59422.0
Bajaj Avenger Street 220,60000,2016,Individual,1st owner,17000,95955.0
Hero Xtreme [2013-2014],45000,2014,Individual,1st owner,56420,72492.0
Yamaha FZ S [2012-2016],40000,2011,Individual,1st owner,82000,79432.0
Yamaha Fazer [2009-2016],50000,2012,Individual,1st owner,100000,84751.0
Bajaj Pulsar 135 LS,45000,2014,Individual,1st owner,14000,64589.0
Yamaha Fazer 25,145000,2018,Individual,2nd owner,4100,142680.0
Honda CB Unicorn 150,45000,2016,Individual,2nd owner,50000,74295.0
Honda Activa 5G,65000,2019,Individual,1st owner,3025,59422.0
Bajaj Pulsar 135 LS,20000,2011,Individual,1st owner,60000,64589.0
Hero Duet,37000,2016,Individual,1st owner,6000,50280.0
Hero Splendor NXG,18000,2011,Individual,1st owner,35000,44814.0
Hero Glamour 125,25000,2013,Individual,1st owner,50000,61600.0
Honda Activa 5G,46000,2018,Individual,1st owner,10000,57557.0
Yamaha Fascino 110,55000,2019,Individual,1st owner,7000,57112.0
Bajaj V15,40000,2016,Individual,1st owner,34000,67187.0
Honda Activa [2000-2015],25000,2012,Individual,1st owner,38000,50267.0
Honda CB Hornet 160R,70000,2017,Individual,1st owner,240000,92210.0
Yamaha Alpha,25000,2015,Individual,2nd owner,14000,54253.0
Mahindra Gusto,25000,2016,Individual,1st owner,13500,51185.0
Bajaj Discover 125,26000,2012,Individual,1st owner,75000,57549.0
Hero Glamour 125,15000,2011,Individual,1st owner,75000,61600.0
Honda CB Unicorn 160,50000,2017,Individual,1st owner,52000,77545.0
Hero Pleasure,26500,2013,Individual,1st owner,18860,49600.0
Honda CB Hornet 160R,80000,2016,Individual,1st owner,100000,92661.0
Yamaha FZ S V 2.0,90000,2018,Individual,1st owner,10500,87042.0
Bajaj Pulsar 180,85000,2016,Individual,1st owner,35000,85011.0
Hero Glamour 125,54000,2013,Individual,1st owner,17000,61600.0
Bajaj Discover 100 T,25000,2014,Individual,1st owner,30000,47032.0
Honda CB Unicorn 150,55000,2014,Individual,1st owner,10000,74295.0
Hero Passion PRO TR,35000,2014,Individual,1st owner,9556,54586.0
Honda CB Shine SP,50000,2018,Individual,1st owner,37000,64750.0
Bajaj V15,45000,2015,Individual,1st owner,2700,65626.0
Bajaj V15,45000,2016,Individual,1st owner,36000,67187.0
Bajaj Discover 100,28000,2015,Individual,2nd owner,52000,42859.0
Suzuki GS150R,27000,2012,Individual,1st owner,14100,70851.0
Honda CB Unicorn Dazzler,50000,2010,Individual,1st owner,75000,71757.0
Honda Aviator,28000,2009,Individual,1st owner,29625,59183.0
Honda Activa [2000-2015],6000,2006,Individual,2nd owner,35000,50267.0
Hero Hunk,35000,2016,Individual,1st owner,32000,78513.0
Bajaj Discover 110,15000,2007,Individual,1st owner,70000,52710.0
Hero Xtreme [2013-2014],45000,2013,Individual,1st owner,57000,75936.0
Honda Aviator,30000,2014,Individual,1st owner,7000,59183.0
Bajaj V15,70000,2018,Individual,1st owner,15000,67187.0
Honda Dream Yuga,35000,2015,Individual,1st owner,39448,56147.0
Bajaj Discover 125,25000,2011,Individual,1st owner,70000,57549.0
Yamaha FZ V 2.0,60000,2018,Individual,1st owner,25000,81508.0
Yamaha SZ-S,50000,2014,Individual,1st owner,20000,72532.0
Bajaj Discover 125 M,30000,2014,Individual,1st owner,45000,49146.0
Yamaha FZ S [2012-2016],60000,2014,Individual,1st owner,68000,79432.0
Honda Activa [2000-2015],23000,2009,Individual,1st owner,95000,50267.0
Hero Glamour 125,50000,2017,Individual,1st owner,8600,61600.0
Hero Xtreme 2014,50000,2014,Individual,1st owner,10000,72973.0
Hero Pleasure,20000,2012,Individual,2nd owner,30000,49600.0
Hero Passion XPro,45000,2018,Individual,1st owner,7000,58900.0
Yamaha FZ S [2012-2016],45000,2016,Individual,2nd owner,20000,79432.0
Honda Activa [2000-2015],25000,2015,Individual,1st owner,25000,50267.0
Hero Glamour FI,75000,2019,Individual,1st owner,8900,71150.0
Hero Xpulse 200,100000,2019,Individual,1st owner,8500,107500.0
Honda CB Unicorn 150,30000,2012,Individual,1st owner,32000,74295.0
Honda Dream Neo,42000,2014,Individual,1st owner,21000,53415.0
Hero Maestro,30000,2013,Individual,1st owner,60000,49412.0
Honda CBR150 R,77000,2014,Individual,1st owner,38000,132513.0
Honda CB Unicorn Dazzler,25000,2011,Individual,1st owner,40000,71757.0
Hero Passion XPro,25000,2013,Individual,1st owner,25000,59640.0
Honda Activa 5G,50000,2018,Individual,1st owner,25000,57957.0
Honda Activa i,30000,2014,Individual,1st owner,25000,53900.0
Suzuki Gixxer [2014-2018],45000,2015,Individual,1st owner,40000,78316.0
Hero Xpulse 200,98000,2019,Individual,1st owner,8500,107500.0
Bajaj Pulsar AS150,55000,2017,Individual,2nd owner,20000,80821.0
Honda CB Twister,70000,2014,Individual,1st owner,12566,49150.0
Bajaj V12,45000,2017,Individual,1st owner,35000,58906.0
Hero Karizma 2014,25000,2015,Individual,1st owner,40000,86744.0
Yamaha YZF R15 V3,170000,2019,Individual,1st owner,1400,146400.0
Yamaha Fascino 110,38000,2016,Individual,1st owner,37000,54500.0
Honda CB Unicorn 160,45000,2015,Individual,1st owner,15000,77545.0
Bajaj Discover 100,22000,2014,Individual,1st owner,14289,42859.0
Mahindra Gusto,30000,2015,Individual,2nd owner,20000,51185.0
Honda Activa [2000-2015],25000,2007,Individual,1st owner,17860,50267.0
Yamaha FZ S [2012-2016],45000,2015,Individual,1st owner,24000,79432.0
Honda Activa i [2016-2017],35000,2016,Individual,1st owner,29000,53436.0
Yamaha FZ V 2.0,60000,2016,Individual,1st owner,45420,81508.0
Honda CB Shine SP,42000,2017,Individual,1st owner,19800,64750.0
Bajaj V15,76000,2018,Individual,1st owner,23000,65626.0
Bajaj Discover 100 T,20000,2013,Individual,1st owner,20000,47032.0
Honda CB Hornet 160R,75000,2016,Individual,1st owner,72000,92661.0
Honda CB Hornet 160R,70000,2018,Individual,1st owner,7000,92661.0
Honda CB Shine SP,50000,2017,Individual,1st owner,34300,62317.0
Bajaj Pulsar 180,25000,2011,Individual,1st owner,43000,85011.0
TVS XL 100,30000,2017,Individual,1st owner,8000,30490.0
Bajaj Pulsar 180,50000,2014,Individual,1st owner,30000,85011.0
Bajaj Discover 150,35000,2015,Individual,1st owner,12000,54299.0
Bajaj Pulsar 180,30000,2009,Individual,1st owner,17500,85011.0
Honda CB Unicorn 150,42000,2013,Individual,1st owner,38000,74295.0
Kawasaki Ninja 650 [2018-2019],300000,2011,Individual,1st owner,12000,589000.0
Benelli TNT 25,160000,2017,Individual,1st owner,2009,170994.0
Royal Enfield Thunderbird 500X,185000,2018,Individual,1st owner,1500,198605.0
Royal Enfield Continental GT [2013 - 2018],110000,2014,Individual,1st owner,12077,208902.0
Bajaj Avenger Street 220,75000,2018,Individual,1st owner,12000,95955.0
Honda Activa 125 [2016-2017],50000,2017,Individual,1st owner,27000,61545.0
Bajaj Discover 150F,30000,2015,Individual,1st owner,12000,64071.0
Hero Karizma ZMR,75000,2015,Individual,1st owner,11000,108000.0
Honda Dream Yuga,45000,2017,Individual,1st owner,26000,56147.0
Hero Glamour 125,35000,2014,Individual,1st owner,450000,61600.0
Honda Activa [2000-2015],35000,2012,Individual,1st owner,29000,50267.0
Honda CB Hornet 160R,70000,2017,Individual,1st owner,13000,92210.0
Royal Enfield Classic Gunmetal Grey,180000,2018,Individual,1st owner,5814,148114.0
Bajaj Discover 100,24000,2014,Individual,1st owner,31000,42859.0
Bajaj Pulsar 180,72000,2017,Dealer,1st owner,7850,85011.0
Royal Enfield Classic Chrome,185000,2015,Individual,2nd owner,5000,189313.0
Royal Enfield Classic Gunmetal Grey,140000,2018,Individual,1st owner,14000,148114.0
Hero Pleasure [2005-2015],30000,2013,Individual,1st owner,25000,46779.0
TVS Victor,18000,2004,Individual,1st owner,46700,54852.0
Kawasaki Ninja 300,300000,2016,Individual,1st owner,9800,360000.0
Honda Dream Yuga,30000,2015,Individual,2nd owner,46070,56147.0
Yamaha YZF R15 [2011-2018],80000,2013,Dealer,1st owner,30000,118997.0
Hero Karizma ZMR,43000,2012,Individual,2nd owner,63000,108000.0
Yo Style,20000,2011,Individual,1st owner,10000,37675.0
Hero Splendor iSmart,40000,2015,Individual,1st owner,10000,52271.0
Bajaj Discover 100,21000,2009,Individual,1st owner,50000,42859.0
Yamaha Fazer [2009-2016],35000,2011,Individual,1st owner,15500,84751.0
Bajaj Discover 125,23000,2011,Individual,1st owner,66000,57549.0
Bajaj Discover 125 M,45000,2014,Individual,1st owner,40000,47186.0
Bajaj Avenger Street 150 [2018],60000,2016,Individual,1st owner,25000,80435.0
Yamaha Fazer [2009-2016],40000,2013,Individual,1st owner,34500,84751.0
Hero Passion X Pro [2016-2017],42000,2016,Individual,1st owner,15500,59095.0
Honda Activa [2000-2015],18000,2011,Individual,1st owner,28000,50267.0
TVS Star City,15000,2006,Individual,1st owner,40000,46575.0
TVS Star City,25000,2016,Individual,1st owner,50000,47108.0
Bajaj Discover 100,23000,2012,Individual,1st owner,50000,42859.0
TVS Victor,10000,2005,Individual,1st owner,55000,54852.0
Honda Aviator,25000,2012,Individual,2nd owner,12000,59183.0
Bajaj Pulsar 180,50000,2010,Individual,1st owner,70000,85011.0
Bajaj Avenger [2015],60000,2015,Individual,2nd owner,16000,75502.0
Hero Maestro,50000,2016,Individual,1st owner,100000,49412.0
Honda CB Shine SP,50000,2016,Individual,1st owner,45000,64750.0
Honda Activa 3G,40000,2016,Individual,1st owner,60000,54605.0
Bajaj Pulsar 135 LS,45000,2017,Individual,1st owner,22000,64589.0
Hero Pleasure,30000,2013,Individual,1st owner,25000,49600.0
Honda CB Twister,25000,2012,Individual,1st owner,86000,53857.0
Bajaj Pulsar AS200,65000,2015,Individual,1st owner,33000,92074.0
Honda Activa 3G,40000,2015,Individual,1st owner,36000,54605.0
Honda CB Hornet 160R,70000,2017,Individual,1st owner,28000,83340.0
Hero Splendor PRO,35000,2015,Individual,1st owner,35280,51994.0
Hero Ignitor,36000,2016,Individual,1st owner,23000,65599.0
Bajaj Discover 100 M,32000,2014,Individual,1st owner,30000,44756.0
Honda Activa 3G,50000,2016,Individual,1st owner,6000,54605.0
Bajaj Pulsar 135 LS,50000,2015,Individual,1st owner,48000,64589.0
Royal Enfield Thunder 500,175000,2018,Individual,1st owner,3000,190000.0
UM Renegade Mojave,170000,2019,Individual,1st owner,1400,182000.0
KTM RC200,165000,2019,Individual,1st owner,4000,178000.0
Bajaj Dominar 400,145000,2019,Individual,1st owner,1200,160000.0
Royal Enfield Classic 350,135000,2019,Individual,1st owner,4100,147000.0
KTM RC390,135000,2017,Individual,1st owner,21700,237000.0
Hyosung GT250R,135000,2016,Individual,2nd owner,16500,345000.0
Royal Enfield Thunder 350,125000,2015,Individual,1st owner,15000,150000.0
Royal Enfield Thunder 350,120000,2018,Individual,1st owner,18000,150000.0
Royal Enfield Classic 350,120000,2019,Individual,1st owner,11000,147000.0
KTM RC200,120000,2018,Individual,1st owner,6000,178000.0
Royal Enfield Thunder 350,115000,2018,Individual,1st owner,8700,150000.0
KTM 390 Duke ,115000,2016,Individual,1st owner,7000,240000.0
Mahindra Mojo XT300,115000,2018,Individual,1st owner,35000,140000.0
Royal Enfield Classic 350,115000,2017,Individual,1st owner,17000,147000.0
Royal Enfield Classic 350,111000,2017,Individual,1st owner,17500,147000.0
Royal Enfield Classic 350,110000,2015,Individual,1st owner,33000,147000.0
Royal Enfield Thunder 500,110000,2017,Individual,1st owner,14000,190000.0
Royal Enfield Classic 350,110000,2017,Individual,1st owner,26000,147000.0
Royal Enfield Thunder 500,105000,2015,Individual,1st owner,5400,190000.0
Bajaj Pulsar RS200,105000,2018,Individual,1st owner,5700,126000.0
Royal Enfield Thunder 350,105000,2013,Individual,1st owner,6900,150000.0
Royal Enfield Bullet 350,105000,2018,Individual,1st owner,6000,117000.0
Royal Enfield Classic 350,100000,2015,Individual,1st owner,46500,147000.0
Royal Enfield Classic 500,95000,2014,Individual,1st owner,11500,175000.0
Royal Enfield Classic 500,90000,2011,Individual,1st owner,40000,175000.0
Bajaj Avenger 220,90000,2019,Individual,1st owner,1300,95000.0
Bajaj Avenger 150,75000,2018,Individual,1st owner,7000,80000.0
Honda CB Hornet 160R,80000,2019,Individual,1st owner,3000,87000.0
Yamaha FZ S V 2.0,78000,2019,Individual,1st owner,5000,84000.0
Honda CB Hornet 160R,75000,2019,Individual,1st owner,11000,87000.0
Yamaha FZ 16,75000,2017,Individual,1st owner,18000,82000.0
Bajaj Avenger 220,75000,2019,Individual,1st owner,3500,95000.0
Bajaj Avenger 220,72000,2018,Individual,1st owner,500,95000.0
TVS Apache RTR 160,65000,2019,Individual,1st owner,11800,81000.0
Bajaj Pulsar 150,65000,2017,Individual,1st owner,5000,74000.0
Honda CBR 150,65000,2016,Individual,1st owner,23500,120000.0
Hero Extreme,65000,2015,Individual,1st owner,16000,78700.0
Honda CB Hornet 160R,60000,2018,Individual,1st owner,15000,87000.0
